id,Prompt,Image URL,Image Caption,Option 1,Option 2,Option 3,Option 4,Option 5
SmallArms,How would you hold this weapon to operate it?,,,Handguns,LongGuns,,,
Handguns,Does it have a rotating cylinder?,https://github.com/paigemoody/weapons_classification_resources.github.io/blob/gh-pages/sources/small_arms_survey/visuals/Figure_3.4_Rifled_and_smooth-bore_barrels.png?raw=true,Rifled and smooth-bore barrels,SelfLoadingPistols,Revolvers,OtherHandguns,,
LongGuns,What is the bore type?,https://github.com/paigemoody/weapons_classification_resources.github.io/blob/gh-pages/sources/small_arms_survey/visuals/Figure_3.4_Rifled_and_smooth-bore_barrels.png?raw=true,Rifled and smooth-bore barrels,Shotguns,RifledLongGuns,,,
RifledLongGuns,What type of rifled long gun best matches?,,,SubMachineGuns,ManPortableMachineGuns,Rifles,OtherLongGuns,
Rifles,How does the rifle load the next round after firing?,,,SelfLoadingRifles,ManuallyOperatedRifles,,,
Shotguns,How does the shotgun load the next round after firing?,,,SelfLoadingShotguns,ManuallyOperatedShotguns,,,
SelfLoadingRifles,How many rounds does the rifle fire per trigger pull?,,,AutomaticRifles,SemiAutomaticRifles,,,
ManuallyOperatedRifles,What action mechanism does the rifle use?,,,BreakActionRifles,BoltActionRifles,LeverActionRifles,PumpActionRifles,OtherManuallyOperatedRifles
SelfLoadingShotguns,How many rounds does the shotgun fire per trigger pull?,,,AutomaticShotguns,SemiAutomaticShotguns,,,
ManuallyOperatedShotguns,What action mechanism does the shotgun use?,,,BreakActionShotguns,BoltActionShotguns,LeverActionShotguns,PumpActionShotguns,OtherManuallyOperatedShotguns
